병원명,업무구분,대표전화,주소,위도,경도,월요일 진료,화요일 진료,수요일 진료,목요일 진료,금요일 진료,토요일 진료,일요일 진료,공휴일 진료,일요일진료,데이터기준일자
연세문치과의원,응급의료기관 이외 > 치과의원,031-406-2879,"경기도 안산시 상록구 용신로 393 (본오동, 청암빌딩 207, 208, 209호)",37.3018474,126.865907,10:00~19:00,10:00~21:00,10:00~19:00,10:00~21:00,10:00~19:00,10:00~14:00,-,-,,2020-09-25
근로복지공단안산병원,지역응급의료기관 > 종합병원,031-500-1114,"경기도 안산시 상록구 구룡로 87, 근로복지공단안산병원 (일동)",37.3167579,126.8739867,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-,,2020-09-25
이수형한의원,응급의료기관 이외 > 한의원,031-484-5900,"경기도 안산시 상록구 예술광장1로 16, 303호 (월피동, 칠성프라자)",37.3289781,126.8442948,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,-,-,-,,2020-09-25
반월경희한의원,응급의료기관 이외 > 한의원,031-438-2900,"경기도 안산시 상록구 건건로 122 (건건동, 덕천상가 301호,302호)",37.3116198,126.9050771,09:00~19:00,09:00~19:00,09:00~19:00,-,09:00~19:00,09:00~17:00,-,-,,2020-09-25
신성한의원,응급의료기관 이외 > 한의원,031-438-3355,"경기도 안산시 상록구 건건1길 29, 1층 (건건동)",37.3030702,126.9017415,09:30~19:00,09:30~20:30,09:30~19:00,09:30~13:30,09:30~20:30,09:30~13:30,09:30~17:00,09:30~13:30,Y,2020-09-25
기둥병원,응급의료기관 이외 > 병원,031-418-8275,"경기도 안산시 상록구 상록수로 34, 뉴라성관광호텔 2층 일부, 3 층 (본오동)",37.3020651,126.8637658,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,09:00~13:00,,2020-09-25
서울에이스마취통증의학과의원,응급의료기관 이외 > 의원,031-415-1675,"경기도 안산시 상록구 용신로 388, 유니온프라자 401~405호 (본오동)",37.3013431,126.8651013,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,,2020-09-25
안산의료복지사회적협동조합새안산의원,응급의료기관 이외 > 의원,031-405-8333,"경기도 안산시 상록구 예술광장로 31, 파크프라자 604~609호 (월피동)",37.328976,126.8467364,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,,2020-09-25
김명한안과의원,응급의료기관 이외 > 의원,031-408-5512,경기도 안산시 상록구 용신로 394 (본오동),37.3013326,126.8658787,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~15:30,-,-,,2020-09-25
이기영산부인과의원,응급의료기관 이외 > 의원,031-486-8909,"경기도 안산시 상록구 예술광장1로 126, 302~304호 (성포동)",37.3268901,126.8441533,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~13:00,-,-,,2020-09-25
이화산부인과의원,응급의료기관 이외 > 의원,031-408-6420,"경기도 안산시 상록구 샘골로 141, 202~203호 (본오동)",37.2963861,126.8628219,09:00~19:00,09:00~19:00,09:00~13:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-,,2020-09-25
김경천안과의원,응급의료기관 이외 > 의원,031-484-4665,"경기도 안산시 상록구 예술광장1로 126, 경동프라자 206호 (성포동)",37.3269228,126.8440171,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~15:00,-,-,,2020-09-25
한양재활의학과의원,응급의료기관 이외 > 의원,031-502-2552,경기도 안산시 상록구 샘골로 154 (본오동),37.297591,126.8634027,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-,,2020-09-25
고잔연세내과의원,응급의료기관 이외 > 의원,031-438-7585,"경기도 안산시 상록구 광덕1로 376, 304호 (이동, 한대빌딩)",37.3077308,126.8510169,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,,2020-09-25
서울내과의원,응급의료기관 이외 > 의원,031-417-7582,경기도 안산시 상록구 상록수로 54 (본오동),37.3021494,126.8659217,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,09:00~19:00,09:00~15:00,-,-,,2020-09-25
상록이비인후과의원,응급의료기관 이외 > 의원,031-502-8465,"경기도 안산시 상록구 샘골로 140, 103~105호 (본오동, 경남빌딩)",37.2961827,126.8633145,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~16:00,-,-,,2020-09-25
미래의원,응급의료기관 이외 > 의원,031-501-6777,"경기도 안산시 상록구 샘골로 144, 201~202호 (본오동, 유경빌딩)",37.2965022,126.8633683,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~15:00,-,-,,2020-09-25
일동튼튼의원,응급의료기관 이외 > 의원,031-407-4700,경기도 안산시 상록구 일동로 24 (일동),37.3099184,126.869126,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-,,2020-09-25
연세조내과의원,응급의료기관 이외 > 의원,031-437-1119,경기도 안산시 상록구 샘골로 147 (본오동),37.2969169,126.862823,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,,2020-09-25
부곡고려정형외과의원,응급의료기관 이외 > 의원,031-417-7588,"경기도 안산시 상록구 부곡로 135, 1~3층 (부곡동)",37.3339277,126.8639105,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,,2020-09-25
현가정의학과의원,응급의료기관 이외 > 의원,031-407-0365,"경기도 안산시 상록구 본오로 128, 2층 (본오동)",37.2964646,126.8668721,09:00~19:00,09:00~19:00,-,09:00~19:00,09:00~19:00,09:00~14:00,-,-,,2020-09-25
부곡내과의원,응급의료기관 이외 > 의원,031-416-2838,"경기도 안산시 상록구 부곡로3길 3-2, 1층 (부곡동)",37.3270026,126.8606828,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-,,2020-09-25
의료법인칠석의료재단사랑의병원,응급의료기관 외의 의료기관(응급의료시설) > 병원,031-439-3000,"경기도 안산시 상록구 예술광장로 69, 사랑의병원 (성포동)",37.3269785,126.8447735,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~13:00,-,-,,2020-09-25
온국민보건의료소비자생활협동조합제니스의원,응급의료기관 이외 > 의원,031-406-4243,"경기도 안산시 상록구 용신로 389 (본오동, 상록수상가)",37.3018681,126.8655288,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~15:00,-,-,,2020-09-25
윤철연합의원·한의원,응급의료기관 이외 > 의원,031-407-7575,"경기도 안산시 상록구 광덕1로 354, 브라이튼빌오피스텔 2층 201호 (이동)",37.3067309,126.8492116,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,,2020-09-25
고잔정형외과의원,응급의료기관 이외 > 의원,031-438-2111,경기도 안산시 상록구 용신로 254-1 (사동),37.3029756,126.8506037,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~18:00,11:00~18:00,09:00~18:00,Y,2020-09-25
김한규정형외과의원,응급의료기관 이외 > 의원,031-418-0119,"경기도 안산시 상록구 석호로 288, 1,2층 (본오동)",37.2933315,126.8625375,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~13:00,-,-,,2020-09-25
맥한의원,응급의료기관 이외 > 한의원,031-417-3075,"경기도 안산시 상록구 본오로 128, 4층 (본오동)",37.2964646,126.8668721,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,09:00~18:30,09:00~14:00,-,-,,2020-09-25
안산재활의학과의원,응급의료기관 이외 > 의원,031-417-8575,경기도 안산시 상록구 본오로 118 (본오동),37.2955612,126.8668101,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,-,-,,2020-09-25
안산한의원,응급의료기관 이외 > 한의원,031-409-1075,"경기도 안산시 상록구 본삼로 49, 3층 302,303호 (본오동, 대명빌딩)",37.3010549,126.8654892,09:00~18:00,09:00~14:00,09:00~18:00,09:00~14:00,09:00~18:00,09:00~14:00,-,-,,2020-09-25
상록치과의원,응급의료기관 이외 > 치과의원,031-407-3258,"경기도 안산시 상록구 본삼로 60, 1동 304호 (본오동, 월드프라자)",37.2998222,126.865105,10:00~19:00,10:00~20:30,10:00~19:00,10:00~20:30,10:00~19:00,10:00~15:00,-,-,,2020-09-25
굿닥터플란트치과의원,응급의료기관 이외 > 치과의원,031-407-2875,"경기도 안산시 상록구 석호로 288, 3층 (본오동)",37.2933315,126.8625375,09:30~19:00,09:30~20:00,09:30~19:00,09:30~20:00,09:30~19:00,09:30~14:00,-,-,,2020-09-25
(의)대선의료재단으뜸요양병원,응급의료기관 이외 > 요양병원,031-363-5200,"경기도 안산시 상록구 용신로 352 (본오동, 목화웨딩홀)",37.3014953,126.8611444,09:00~17:50,09:00~17:50,09:00~17:50,09:00~17:50,09:00~17:50,09:00~12:40,-,-,,2020-09-25
동안산병원,응급의료기관 외의 의료기관(응급의료시설) > 병원,031-410-1116,경기도 안산시 상록구 월피로 88 (월피동),37.335877,126.8530106,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,Y,2020-09-25
마루한방병원,응급의료기관 이외 > 한방병원,031-409-4100,"경기도 안산시 상록구 광덕1로 385, 6~7층 (이동, 엔타운)",37.30918065,126.851821,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~13:00,-,-,,2020-09-25
베스트힐스요양병원,응급의료기관 이외 > 요양병원,031-415-2300,"경기도 안산시 상록구 선진안길 17 (사동, e-서울병원)",37.2884453,126.8631298,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:00,-,-,,2020-09-25
세화병원,응급의료기관 외의 의료기관(응급의료시설) > 병원,031-437-0114,경기도 안산시 상록구 용신로 355 (본오동),37.3020073,126.8615462,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~13:00,-,-,,2020-09-25
안산시립노인전문병원,응급의료기관 이외 > 요양병원,031-8040-5114,경기도 안산시 상록구 차돌배기로 24 (사동),37.2683594,127.0041634,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,-,-,-,,2020-09-25
연세서울병원,응급의료기관 이외 > 병원,031-415-1010,"경기도 안산시 상록구 선암로 40 (본오동, 드들요양병원)",37.2884453,126.8631298,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~14:00,-,-,,2020-09-25
성삼의료재단영광한의원,응급의료기관 이외 > 한의원,031-416-1075,"경기도 안산시 상록구 안산대학로 105, 2층 (일동)",37.3097093,126.8692205,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-,,2020-09-25
강남수내과의원,응급의료기관 이외 > 의원,031-406-7585,경기도 안산시 상록구 석호로 288 (본오동),37.2933315,126.8625375,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~16:00,-,-,,2020-09-25
의료법인서전의료재단한사랑병원,응급의료기관 이외 > 병원,031-501-7777,경기도 안산시 상록구 광덕1로 345 (이동),37.3070689,126.8484422,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~12:30,-,09:00~17:00,,2020-09-25
안산무지개연합의원,응급의료기관 이외 > 의원,031-405-9011,"경기도 안산시 상록구 항가울로 410 (성포동, 롯데마트)",37.3180115,126.8461214,10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,Y,2020-09-25
삼성본오의원,응급의료기관 이외 > 의원,031-418-0567,경기도 안산시 상록구 용신로 384 (본오동),37.301362,126.8647221,10:00~20:00,10:00~21:00,-,10:00~20:00,10:00~21:00,10:00~16:00,-,-,,2020-09-25
안산의료복지사회적협동조합새안산한의원,응급의료기관 이외 > 한의원,031-413-2206,"경기도 안산시 상록구 예술광장로 31, 파크프라자 501~504호 (월피동)",37.3285717,126.8475081,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-,,2020-09-25
정다운치과의원,응급의료기관 이외 > 치과의원,031-502-7582,"경기도 안산시 상록구 삼리로 34, 2층 (사동)",37.3045187,126.8438021,10:00~18:00,10:00~18:00,10:00~18:00,10:00~13:00,10:00~18:00,10:00~13:00,-,-,,2020-09-25
동산한방병원,응급의료기관 이외 > 한방병원,031-502-5975,"경기도 안산시 상록구 석호로 43, 2층 (이동, 굿모닝오피스텔)",37.3075919,126.8478784,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~13:00,-,-,,2020-09-25
유호여성의원,응급의료기관 이외 > 의원,031-439-5700,"경기도 안산시 상록구 예술광장로 35, 에스엘타운 403호 (월피동)",37.3280631,126.8477382,09:00~18:00,09:00~20:00,09:00~18:00,09:00~20:00,09:00~18:00,09:00~13:00,-,-,,2020-09-25
365열린의원,응급의료기관 이외 > 의원,031-405-0365,"경기도 안산시 상록구 시낭북로4길 1, 2층 (부곡동)",37.3352321,126.858164,09:00~20:00,09:00~20:00,09:00~20:00,09:00~13:00,09:00~20:00,09:00~16:00,-,-,,2020-09-25
신농씨한의원,응급의료기관 이외 > 한의원,031-407-8575,"경기도 안산시 상록구 용신로 390, 403,405호 (본오동)",37.3013433,126.8654984,09:30~19:00,09:30~21:00,09:30~19:00,09:30~16:00,09:30~21:00,09:30~16:00,-,-,,2020-09-25
하나의원,응급의료기관 이외 > 의원,031-481-8282,"경기도 안산시 상록구 광덕산2로 22, 114,118호 (월피동, 은성빌딩)",37.335281,126.8452841,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~17:00,-,-,,2020-09-25
반월치과의원,응급의료기관 이외 > 치과의원,031-599-0828,"경기도 안산시 상록구 건건8길 2, 304호 (건건동, 이편한세상주상가동)",37.3101869,126.9055408,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~14:00,-,-,,2020-09-25
대성한방병원,응급의료기관 이외 > 한방병원,031-501-1199,경기도 안산시 상록구 샘골로 78 (본오동),37.2905786,126.8629973,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~14:00,-,-,,2020-09-25
안산튼튼병원,응급의료기관 이외 > 병원,031-8040-8100,"경기도 안산시 상록구 도매시장로 4 (이동, 광덕빌딩)",37.3078698,126.8570163,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~15:00,-,-,,2020-09-25
안성훈한방병원,응급의료기관 이외 > 한방병원,031-365-3625,"경기도 안산시 상록구 광덕산2로 28 (월피동, 2층일부,3층)",37.3350251,126.8456604,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~18:00,10:00~18:00,09:00~18:00,Y,2020-09-25
의료법인해인의료재단해인요양병원,응급의료기관 이외 > 요양병원,031-416-1251,"경기도 안산시 상록구 샘골로 43, 1~5층 (본오동)",37.2877004,126.8636327,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-,,2020-09-25
의료법인호원의료재단호원요양병원,응급의료기관 이외 > 요양병원,031-439-3119,"경기도 안산시 상록구 광덕산2로 22 (월피동, 은성빌딩)",37.335281,126.8452841,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,,2020-09-25
하나정형외과의원,응급의료기관 이외 > 의원,031-409-8275,경기도 안산시 상록구 도매시장로 31 (이동),37.3098332,126.858846,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-,,2020-09-25
해나무한의원,응급의료기관 이외 > 한의원,031-485-1073,"경기도 안산시 상록구 화랑로 501, 304호 (성포동)",37.3206516,126.8438326,09:30~21:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~21:00,09:30~16:00,09:30~16:00,09:30~16:00,Y,2020-09-25
바른한방병원,응급의료기관 이외 > 한방병원,031-437-6700,"경기도 안산시 상록구 초당로 54, 1~4층 (사동)",37.2845205,126.8534478,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,,2020-09-25
동수한방병원,응급의료기관 이외 > 한방병원,031-502-7788,"경기도 안산시 상록구 본오로 46-1, 1~4층 (본오동)",37.2890723,126.8664958,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,,2020-09-25
재단법인원불교원광한의원,응급의료기관 이외 > 한의원,031-401-6300,"경기도 안산시 상록구 화랑로 508, 2층 (성포동, 예일빌딩)",37.3202014,126.8442395,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:00,09:00~13:00,-,-,,2020-09-25
자성당한의원,응급의료기관 이외 > 한의원,031-418-5252,"경기도 안산시 상록구 본삼로 45, 3층 (본오동, 덕암빌딩)",37.3010652,126.8650435,10:30~19:00,10:30~19:00,10:30~19:00,10:30~19:00,10:30~19:00,10:30~17:00,-,-,,2020-09-25
스타소아청소년과의원,응급의료기관 이외 > 의원,031-482-5312,"경기도 안산시 상록구 화랑로 513, 3층 3호, 9호 (성포동, 예술인아파트 스타프라자)",37.320646,126.844739,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,09:00~13:00,,2020-09-25
지성메디칼의원,응급의료기관 이외 > 의원,031-418-7723,"경기도 안산시 상록구 샘골로 190, 2층 (본오동, 국제프라자)",37.3006581,126.8635788,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~13:00,-,-,,2020-09-25
코끼리소아청소년과의원,응급의료기관 이외 > 의원,031-407-1178,"경기도 안산시 상록구 샘골로 142, 2층 203~204호 (본오동, 동보프라자)",37.2963642,126.8633546,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:00,09:00~14:30,-,Y,2020-09-25
행복한여성의원,응급의료기관 이외 > 의원,031-438-3501,"경기도 안산시 상록구 샘골로 187, 2층 (본오동)",37.3004517,126.8630044,09:00~19:00,09:00~21:00,09:00~19:00,09:00~13:00,09:00~21:00,09:00~13:00,-,-,,2020-09-25
더조은서울내과의원,응급의료기관 이외 > 의원,031-402-5995,"경기도 안산시 상록구 예술광장로 35, 303호 (월피동, 에스엘타운)",37.3280631,126.8477382,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,09:00~19:00,09:00~15:00,-,-,,2020-09-25
마음속내과의원,응급의료기관 이외 > 의원,031-502-7766,"경기도 안산시 상록구 용신로 382, 2층 (본오동, 상경빌딩)",37.3013707,126.8642936,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~13:00,-,-,,2020-09-25
미즈피아산부인과의원,응급의료기관 이외 > 의원,031-407-0077,경기도 안산시 상록구 샘골로 112 (본오동),37.293728,126.8632003,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~17:00,-,-,,2020-09-25
아름다운피부과의원,응급의료기관 이외 > 의원,031-409-1161,"경기도 안산시 상록구 상록수로 54, 502호 (본오동)",37.3021494,126.8659217,09:30~18:00,09:30~18:00,-,09:30~20:00,09:30~18:00,09:30~13:00,-,-,,2020-09-25
예담치과의원,응급의료기관 이외 > 치과의원,031-417-2275,"경기도 안산시 상록구 석호로 235, 4층 (사동)",37.2939852,126.8566967,10:00~19:00,10:00~21:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~14:00,-,-,,2020-09-25
진내과의원,응급의료기관 이외 > 의원,031-419-0095,"경기도 안산시 상록구 샘골로 140, 201,202,204호 (본오동, 경남빌딩)",37.2889,126.8639606,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~16:00,-,-,,2020-09-25
진외과의원,응급의료기관 이외 > 의원,031-411-1113,"경기도 안산시 상록구 예술광장1로 54, 2층 (월피동, 오성프라자)",37.329035,126.847843,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,,2020-09-25
하늘치과의원,응급의료기관 이외 > 치과의원,031-418-2875,"경기도 안산시 상록구 용신로 388, 유니온프라자 6층 601~603호 (본오동)",37.3013431,126.8651013,09:30~21:00,09:30~21:00,09:30~21:00,09:30~21:00,09:30~20:00,09:30~13:30,-,-,,2020-09-25
베스트원의원,응급의료기관 이외 > 의원,031-407-5114,경기도 안산시 상록구 본오로 55 (본오동),37.2900018,126.8660826,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,09:00~13:00,09:00~13:00,Y,2020-09-25
사단법인대한교통장애인연합회사랑나눔명품한의원,응급의료기관 이외 > 한의원,031-407-8271,"경기도 안산시 상록구 각골로 72, 2, 3 , 4층 (본오동)",37.2969552,126.8727458,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~16:00,09:00~16:00,09:00~16:00,Y,2020-09-25
내츄럴치과의원,응급의료기관 이외 > 치과의원,031-406-2825,"경기도 안산시 상록구 본오로 59, 2층 (본오동)",37.2903552,126.866101,10:00~18:00,10:00~19:00,10:00~18:00,10:00~19:00,10:00~18:00,10:00~14:00,-,-,,2020-09-25
우리외과의원,응급의료기관 이외 > 의원,031-418-7114,"경기도 안산시 상록구 석호로 310-1, 1~3층 (본오동)",37.2932543,126.8650999,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-,,2020-09-25
경희미소한의원,응급의료기관 이외 > 한의원,031-403-0715,"경기도 안산시 상록구 화랑로 501, 204호 (성포동, 예술프라자)",37.3206516,126.8438326,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~17:00,-,-,,2020-09-25
로진경희한의원,응급의료기관 이외 > 한의원,031-416-7575,"경기도 안산시 상록구 광덕1로 366, 201~202호 (이동, 로진메디칼)",37.3073697,126.850517,09:30~19:00,09:30~19:00,09:30~21:00,09:30~19:00,09:30~19:00,09:30~16:00,-,09:30~16:00,,2020-09-25
일동제일의원,응급의료기관 이외 > 의원,031-417-0380,"경기도 안산시 상록구 도매시장로 102, 1층 (일동)",37.3143935,126.8640873,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-,,2020-09-25
이화소아청소년과의원,응급의료기관 이외 > 의원,031-437-0210,"경기도 안산시 상록구 광덕1로 376, 205호 (이동, 한대프라자)",37.3070127,126.8479523,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~14:00,-,-,,2020-09-25
이찬수정형외과의원,응급의료기관 이외 > 의원,031-406-6767,경기도 안산시 상록구 중보1길 24 (이동),37.30677235,126.850316,09:00~18:00,09:00~18:00,09:00~13:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,,2020-09-25
활력한의원,응급의료기관 이외 > 한의원,031-438-7975,"경기도 안산시 상록구 샘골로 111, 강남빌딩 202호 (본오동)",37.2936898,126.8626406,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~14:00,-,-,,2020-09-25
청석한의원,응급의료기관 이외 > 한의원,031-415-7588,"경기도 안산시 상록구 해양1로 34, 안산고잔7차푸르지오 상가동 4층 403~404호 (사동)",37.2958885,126.8180503,10:00~19:00,14:00~20:30,10:00~19:00,14:00~20:30,10:00~19:00,10:00~15:00,-,-,,2020-09-25
본오가정의학과의원,응급의료기관 이외 > 의원,031-501-0075,경기도 안산시 상록구 선암로 43 (본오동),37.288809,126.863572,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~15:00,10:00~14:00,-,Y,2020-09-25
우리예담의료소비자생활협동조합소담의원,응급의료기관 이외 > 의원,031-419-0075,"경기도 안산시 상록구 석호로 208, 2~4층 (사동)",37.294621,126.8537648,09:00~19:00,09:00~19:00,09:00~18:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,,2020-09-25
